date,predict
2023-07-02,9467.93
2023-07-03,9390.01
2023-07-04,9457.19
2023-07-05,9343.92
2023-07-06,9578.21
2023-07-07,9426.83
2023-07-08,9407.14
2023-07-09,9524.54
2023-07-10,9519.30
2023-07-11,9358.35
2023-07-12,9249.79
2023-07-13,9544.23
2023-07-14,9484.75
2023-07-15,9531.26
2023-07-16,9664.87
2023-07-17,9437.36
2023-07-18,9577.60
2023-07-19,9512.58
2023-07-20,9568.86
2023-07-21,9541.83
2023-07-22,9372.91
2023-07-23,9575.91
2023-07-24,9388.28
2023-07-25,9528.00
2023-07-26,9429.99
2023-07-27,9421.87
2023-07-28,9813.98
2023-07-29,9351.93
2023-07-30,9469.47
2023-07-31,9305.46
